Lat,Lon,Name,Borough,Ride.Count
40.764,-73.9583,ST JOHN NEPLMUCENE CHURCH,1.0,3213
40.6823,-73.9707,CARLTON AVE OVER LIRR ATLNTC AVE,3.0,3212
40.724,-74.005,BROOME STREET ACADEMY CHARTER HIGH SCHOOL,1.0,3208
40.7451,-73.9858,TRANSFIGURATION EPISCOPAL CHURCH,1.0,3205
40.7501,-73.9921,PENN STATION,1.0,3203
40.6664,-73.7801,FAIRFIELD INN HOTEL JFK AIRPORT,4.0,3194
40.72,-73.984,SIEMPRE VERDE GARDEN,1.0,3189
40.7733,-73.9555,TEMPLE SHAARAY TEFILA,1.0,3183
40.6915,-73.9547,SPENCER STREET COMMUNITY GARDEN,3.0,3170
40.7638,-73.9743,PARIS THEATRE,1.0,3166
40.7878,-73.9284,RFK BR QUEENS PED AND BIKE PATH,1.0,3165
40.7724,-73.9196,RFK BR QUEENS PED AND BIKE PATH,4.0,3165
40.742,-73.9897,EATALY FLATIRON,1.0,3164
40.7695,-73.9962,PIER 92,1.0,3163
40.7371,-74.0011,NYC AIDS MEMORIAL PARK,1.0,3160
40.7565,-74.0015,W 35 ST OV AMTRAK 30 ST BRANCH,1.0,3154
40.69,-73.9928,ANTIOCH PENTECOSTAL CHURCH,3.0,3146
40.7555,-73.9881,SHOWCARD HOTEL,1.0,3133
40.7753,-73.9633,MARK HOTEL,1.0,3123
40.6873,-73.9999,KANE STREET OVER I-278 BQE,3.0,3111
40.7337,-73.9896,NEW YORK UNIVERSITY 145 4 AV,1.0,3111
40.6787,-73.9761,ST AUGUSTINE RC CHURCH,3.0,3107
40.7465,-74.0075,BAYVIEW CORR FAC,1.0,3106
40.7365,-73.9966,MANNES SCHOOL OF MUSIC,1.0,3103
40.7625,-73.9712,KITON STORE FOUR SEASONS,1.0,3101
40.7425,-73.9817,EPIPHANY UPPER SCHOOL,1.0,3095
40.7573,-73.9714,CHILDREN FIRST AT 575 LEXINGTON AVE,1.0,3093
40.7564,-73.9769,MEXICAN TOURISM OFFICE,1.0,3093
40.7395,-74.0082,HIGH LINE GANSEVORT ST ENTRANCE,1.0,3090
40.7528,-73.981,ANDAZ HOTEL 5TH AVE,1.0,3084
40.7262,-73.9899,BIJOU CINEMA,1.0,3074
40.6737,-73.9253,ST MARYS PLAZA,3.0,3069
40.7624,-73.9781,WARWICK HOTEL,1.0,3069
40.7273,-73.9804,TOMPKINS SQUARE LIBRARY,1.0,3069
40.7594,-73.8326,ONE FULTON  SQUARE,4.0,3068
40.7142,-73.9899,STRAUS SQUARE,1.0,3068
40.7382,-74.0005,CHURCH OF THE VILLAGE UNITED METHODIST,1.0,3053
40.7216,-73.8518,YOUNG ISRAEL OF FOREST HILLS SENIOR LEAGUE,4.0,3041
40.7159,-74.0091,BOGARDUS GARDEN,1.0,3040
